,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
304,11140,M,10대,자동차,14,14
305,11140,M,10대,전자상거래,4,3
306,11140,M,10대,주유,13,13
307,11140,M,20대,가전/가구,13,13
308,11140,M,20대,가정생활/서비스,5,4
309,11140,M,20대,교육/학원,12,14
310,11140,M,20대,미용,9,10
311,11140,M,20대,스포츠/문화/레저,3,5
312,11140,M,20대,여행/교통,6,6
313,11140,M,20대,요식/유흥,2,1
314,11140,M,20대,유통,1,2
315,11140,M,20대,음/식료품,8,12
316,11140,M,20대,의료,7,7
317,11140,M,20대,의류/잡화,11,8
318,11140,M,20대,자동차,14,9
319,11140,M,20대,전자상거래,4,3
320,11140,M,20대,주유,10,11
321,11140,M,30대,가전/가구,14,9
322,11140,M,30대,가정생활/서비스,5,4
323,11140,M,30대,교육/학원,13,14
324,11140,M,30대,미용,10,13
325,11140,M,30대,스포츠/문화/레저,6,7
326,11140,M,30대,여행/교통,7,6
327,11140,M,30대,요식/유흥,2,1
328,11140,M,30대,유통,1,2
329,11140,M,30대,음/식료품,8,12
330,11140,M,30대,의료,4,5
331,11140,M,30대,의류/잡화,12,11
332,11140,M,30대,자동차,11,10
333,11140,M,30대,전자상거래,3,3
334,11140,M,30대,주유,9,8
335,11140,M,40대,가전/가구,14,10
336,11140,M,40대,가정생활/서비스,5,4
337,11140,M,40대,교육/학원,12,11
338,11140,M,40대,미용,10,14
339,11140,M,40대,스포츠/문화/레저,8,9
340,11140,M,40대,여행/교통,9,6
341,11140,M,40대,요식/유흥,2,1
342,11140,M,40대,유통,1,2
343,11140,M,40대,음/식료품,7,13
344,11140,M,40대,의료,4,5
345,11140,M,40대,의류/잡화,13,12
346,11140,M,40대,자동차,11,7
347,11140,M,40대,전자상거래,3,3
348,11140,M,40대,주유,6,8
349,11140,M,50대,가전/가구,13,11
350,11140,M,50대,가정생활/서비스,4,4
351,11140,M,50대,교육/학원,14,14
352,11140,M,50대,미용,10,13
353,11140,M,50대,스포츠/문화/레저,9,9
354,11140,M,50대,여행/교통,8,7
355,11140,M,50대,요식/유흥,2,1
356,11140,M,50대,유통,1,2
357,11140,M,50대,음/식료품,7,10
358,11140,M,50대,의료,3,3
359,11140,M,50대,의류/잡화,12,12
360,11140,M,50대,자동차,11,6
361,11140,M,50대,전자상거래,6,5
362,11140,M,50대,주유,5,8
363,11140,M,60대,가전/가구,13,12
364,11140,M,60대,가정생활/서비스,5,3
365,11140,M,60대,교육/학원,14,14
366,11140,M,60대,미용,10,13
367,11140,M,60대,스포츠/문화/레저,9,9
368,11140,M,60대,여행/교통,8,8
369,11140,M,60대,요식/유흥,2,1
370,11140,M,60대,유통,1,2
371,11140,M,60대,음/식료품,6,10
372,11140,M,60대,의료,3,4
373,11140,M,60대,의류/잡화,12,11
374,11140,M,60대,자동차,11,5
375,11140,M,60대,전자상거래,7,7
376,11140,M,60대,주유,4,6
377,11140,M,70대이상,가전/가구,14,11
378,11140,M,70대이상,가정생활/서비스,5,7
379,11140,M,70대이상,교육/학원,13,14
380,11140,M,70대이상,미용,11,13
381,11140,M,70대이상,스포츠/문화/레저,9,9
382,11140,M,70대이상,여행/교통,7,3
383,11140,M,70대이상,요식/유흥,1,2
384,11140,M,70대이상,유통,2,4
385,11140,M,70대이상,음/식료품,6,6
386,11140,M,70대이상,의료,3,1
387,11140,M,70대이상,의류/잡화,12,10
388,11140,M,70대이상,자동차,10,12
389,11140,M,70대이상,전자상거래,8,8
390,11140,M,70대이상,주유,4,5
391,11170,F,10대,가전/가구,12,12
392,11170,F,10대,가정생활/서비스,5,5
393,11170,F,10대,교육/학원,9,10
394,11170,F,10대,미용,8,9
395,11170,F,10대,스포츠/문화/레저,4,6
396,11170,F,10대,여행/교통,11,8
397,11170,F,10대,요식/유흥,1,1
398,11170,F,10대,유통,2,3
399,11170,F,10대,음/식료품,7,11
400,11170,F,10대,의료,10,7
401,11170,F,10대,의류/잡화,6,4
402,11170,F,10대,자동차,14,14
403,11170,F,10대,전자상거래,3,2
404,11170,F,10대,주유,13,13
405,11170,F,20대,가전/가구,12,10
406,11170,F,20대,가정생활/서비스,7,5
407,11170,F,20대,교육/학원,11,11
408,11170,F,20대,미용,10,9
409,11170,F,20대,스포츠/문화/레저,5,7
410,11170,F,20대,여행/교통,6,6
411,11170,F,20대,요식/유흥,1,1
412,11170,F,20대,유통,2,3
413,11170,F,20대,음/식료품,8,12
414,11170,F,20대,의료,4,4
415,11170,F,20대,의류/잡화,9,8
416,11170,F,20대,자동차,14,14
417,11170,F,20대,전자상거래,3,2
418,11170,F,20대,주유,13,13
419,11170,F,30대,가전/가구,14,10
420,11170,F,30대,가정생활/서비스,5,5
421,11170,F,30대,교육/학원,12,8
422,11170,F,30대,미용,10,11
423,11170,F,30대,스포츠/문화/레저,8,7
424,11170,F,30대,여행/교통,6,6
425,11170,F,30대,요식/유흥,1,3
426,11170,F,30대,유통,2,2
427,11170,F,30대,음/식료품,7,12
428,11170,F,30대,의료,4,4
429,11170,F,30대,의류/잡화,9,9
430,11170,F,30대,자동차,13,14
431,11170,F,30대,전자상거래,3,1
432,11170,F,30대,주유,11,13
433,11170,F,40대,가전/가구,14,13
434,11170,F,40대,가정생활/서비스,5,5
435,11170,F,40대,교육/학원,12,8
436,11170,F,40대,미용,10,11
437,11170,F,40대,스포츠/문화/레저,7,7
438,11170,F,40대,여행/교통,8,6
439,11170,F,40대,요식/유흥,2,3
440,11170,F,40대,유통,1,1
441,11170,F,40대,음/식료품,6,10
442,11170,F,40대,의료,4,4
443,11170,F,40대,의류/잡화,11,9
444,11170,F,40대,자동차,13,14
445,11170,F,40대,전자상거래,3,2
446,11170,F,40대,주유,9,12
447,11170,F,50대,가전/가구,12,9
448,11170,F,50대,가정생활/서비스,5,5
449,11170,F,50대,교육/학원,14,14
450,11170,F,50대,미용,9,11
451,11170,F,50대,스포츠/문화/레저,7,10
452,11170,F,50대,여행/교통,8,6
453,11170,F,50대,요식/유흥,2,3
454,11170,F,50대,유통,1,1
455,11170,F,50대,음/식료품,6,7
456,11170,F,50대,의료,4,4
457,11170,F,50대,의류/잡화,11,8
458,11170,F,50대,자동차,13,13
459,11170,F,50대,전자상거래,3,2
460,11170,F,50대,주유,10,12
461,11170,F,60대,가전/가구,12,10
462,11170,F,60대,가정생활/서비스,6,6
463,11170,F,60대,교육/학원,14,14
464,11170,F,60대,미용,10,12
465,11170,F,60대,스포츠/문화/레저,9,9
466,11170,F,60대,여행/교통,7,5
467,11170,F,60대,요식/유흥,2,4
468,11170,F,60대,유통,1,1
469,11170,F,60대,음/식료품,4,7
470,11170,F,60대,의료,3,2
471,11170,F,60대,의류/잡화,11,8
472,11170,F,60대,자동차,13,13
